Condo Name,District,Date Posted,Agent Id,Price,Beds,Bathrooms,Sq Feet,Sq Meter
City Square Residences ,D08,"18 Mar, 2014",288693,"SGD 4,500 (Negotiable)",2,3,861 sqft,80 sqm
Rafflesia ,D20,"18 Mar, 2014",281379,"SGD 4,000 ",2,2,915 sqft,85 sqm
SGD 5500 opp Holland Village MRT ,D10,"18 Mar, 2014",289544,"SGD 5,500 ",3,0,"1,100 sqft",102 sqm
Trevista ,D12,"18 Mar, 2014",298990,"SGD 5,188 (Negotiable)",3,2,"1,109 sqft","11,937 sqm"
Ocean Park ,D15,"18 Mar, 2014",298990,"SGD 6,500 (Negotiable)",4,4,"3,210 sqft",298 sqm
Este villa  ,D28,"18 Mar, 2014",334408,"SGD 8,000 ",4,4,"3,358 sqft",312 sqm
The Lighthouse ,D17,"18 Mar, 2014",320056,"SGD 5,300 (Offers in Excess of)",4,0,"2,928 sqft",272 sqm
Cube 8 ,D11,"18 Mar, 2014",298804,"SGD 5,900 (Negotiable)",2,2,"1,388 sqft",129 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 6,500 ",3,3,"1,412 sqft",131 sqm
The Lumiere ,D02,"18 Mar, 2014",298990,"SGD 4,000 (Negotiable)",1,1,646 sqft,60 sqm
Centro residences ,D20,"18 Mar, 2014",290790,"SGD 4,500 ",2,2,"1,453 sqft",135 sqm
Parc Emily ,D09,"18 Mar, 2014",298990,"SGD 5,700 (Negotiable)",2,1,893 sqft,83 sqm
Nomu ,D09,"18 Mar, 2014",297947,"SGD 4,499 (Negotiable)",1,1,603 sqft,56 sqm
Vacanza  East ,D14,"18 Mar, 2014",297947,"SGD 3,499 (Negotiable)",2,2,840 sqft,78 sqm
Dairy Farm Estate ,D23,"18 Mar, 2014",297947,"SGD 2,699 (Guide Price)",2,0,"1,281 sqft",119 sqm
Marina Bay Residences ,D01,"18 Mar, 2014",297947,"SGD 4,899 (Guide Price)",1,1,732 sqft,68 sqm
Ascentia Sky ,D03,"18 Mar, 2014",297947,"SGD 6,999 (Offers in Excess of)",4,2,"1,851 sqft",172 sqm
The Metropolitan Condominium ,D03,"18 Mar, 2014",297947,"SGD 5,599 (Guide Price)",3,3,"1,399 sqft",130 sqm
Vacanza  East ,D14,"18 Mar, 2014",297947,"SGD 3,799 (Negotiable)",2,2,840 sqft,78 sqm
Domus ,D12,"18 Mar, 2014",297947,"SGD 4,399 (Negotiable)",2,0,904 sqft,84 sqm
Centro Residences ,D20,"18 Mar, 2014",297947,"SGD 6,199 (Negotiable)",2,0,"1,744 sqft",162 sqm
The Ford @ Holland ,D10,"18 Mar, 2014",290664,"SGD 8,500 ",4,4,"1,900 sqft",177 sqm
Hundred Trees ,D05,"18 Mar, 2014",298804,"SGD 5,000 (Negotiable)",3,2,"1,302 sqft",121 sqm
The Riverine By The Park ,D12,"18 Mar, 2014",280897,"SGD 5,600 (Negotiable)",3,3,"1,206 sqft",112 sqm
Parc Elegance ,D15,"18 Mar, 2014",280897,"SGD 3,000 (Negotiable)",2,2,570 sqft,53 sqm
Suites@Katong ,D15,"18 Mar, 2014",280897,"SGD 2,600 (Negotiable)",1,1,388 sqft,36 sqm
Aquarius By The Park ,D16,"18 Mar, 2014",280897,"SGD 3,600 (Negotiable)",3,3,"1,206 sqft",112 sqm
Water Place ,D15,"18 Mar, 2014",280897,"SGD 4,700 (Negotiable)",3,3,"1,216 sqft",113 sqm
Eastvale ,D18,"18 Mar, 2014",280897,"SGD 3,300 (Negotiable)",3,3,"1,100 sqft",102 sqm
833 M B Residences ,D15,"18 Mar, 2014",280897,"SGD 3,000 (Negotiable)",1,1,900 sqft,84 sqm
Lagoon View ,D15,"18 Mar, 2014",280897,"SGD 3,200 (Negotiable)",3,3,"1,700 sqft",158 sqm
Changi Court ,D16,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",2,2,840 sqft,78 sqm
Eunos Mansion ,D14,"18 Mar, 2014",280897,"SGD 3,800 (Negotiable)",3,3,"1,002 sqft",93 sqm
Sanctuary Green ,D15,"18 Mar, 2014",280897,"SGD 4,300 (Negotiable)",2,2,958 sqft,89 sqm
Eastpoint Green ,D18,"18 Mar, 2014",280897,"SGD 3,800 (Negotiable)",3,3,"1,141 sqft",106 sqm
Aquarius By The Park ,D16,"18 Mar, 2014",280897,"SGD 3,000 (Negotiable)",2,2,893 sqft,83 sqm
The Interlace ,D04,"18 Mar, 2014",282993,"SGD 5,200 ",3,2,"1,464 sqft",136 sqm
Leonie Condotel ,D09,"18 Mar, 2014",282993,"SGD 13,600 (Negotiable)",4,4,"2,931 sqft",272 sqm
Leonie Condotel ,D09,"18 Mar, 2014",282993,"SGD 12,600 (Negotiable)",4,3,"2,770 sqft",257 sqm
Ardmore Residence ,D10,"18 Mar, 2014",282993,"SGD 19,200 (Negotiable)",4,4,"3,186 sqft",296 sqm
The Interlace ,D04,"18 Mar, 2014",282993,"SGD 5,200 ",3,2,"1,461 sqft",136 sqm
The Interlace ,D04,"18 Mar, 2014",282993,"SGD 5,200 ",3,2,"1,463 sqft",136 sqm
Centro Residences ,D20,"18 Mar, 2014",297947,"SGD 4,799 (Negotiable)",2,0,"1,453 sqft",135 sqm
Centro Residences ,D20,"18 Mar, 2014",297947,"SGD 6,799 (Negotiable)",4,0,"2,486 sqft",231 sqm
Bishan Park Condo ,D20,"18 Mar, 2014",297947,"SGD 3,599 (Guide Price)",3,0,"1,324 sqft",123 sqm
Centro Residences ,D20,"18 Mar, 2014",297947,"SGD 8,799 (Negotiable)",4,0,"2,390 sqft",222 sqm
The Bayshore ,D16,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",2,2,947 sqft,88 sqm
The Makena ,D15,"18 Mar, 2014",280897,"SGD 5,500 (Negotiable)",4,4,"1,755 sqft",163 sqm
Ritz Regency ,D15,"18 Mar, 2014",280897,"SGD 5,500 (Negotiable)",3,3,"1,290 sqft",120 sqm
Melville Park ,D18,"18 Mar, 2014",280897,"SGD 3,400 (Negotiable)",3,3,"1,206 sqft",112 sqm
Tanjong Ria Condo ,D15,"18 Mar, 2014",280897,"SGD 3,200 (Negotiable)",2,2,807 sqft,75 sqm
Mackenzie 88 ,D09,"18 Mar, 2014",297947,"SGD 3,999 (Negotiable)",2,2,840 sqft,78 sqm
Haig Court ,D15,"18 Mar, 2014",280897,"SGD 5,000 (Negotiable)",3,3,"1,453 sqft",135 sqm
The Palladium ,D15,"18 Mar, 2014",280897,"SGD 4,300 (Negotiable)",2,2,882 sqft,82 sqm
The Coast At Sentosa Cove ,D04,"18 Mar, 2014",280897,"SGD 14,000 (Negotiable)",5,5,"4,596 sqft",427 sqm
The Modules ,Soho,"18 Mar, 2014",280897,"SGD 2,800 (Negotiable)",1,1,500 sqft,46 sqm
The Sea View ,D15,"18 Mar, 2014",280897,"SGD 6,500 (Negotiable)",3,3,"1,410 sqft",131 sqm
The Sunny Spring ,D14,"18 Mar, 2014",280897,"SGD 4,500 ",3,3,"1,398 sqft",130 sqm
Waterview ,D18,"18 Mar, 2014",280897,"SGD 3,800 ",3,3,"1,184 sqft",110 sqm
Sanctuary Green ,D15,"18 Mar, 2014",280897,"SGD 5,000 (Negotiable)",3,3,"1,356 sqft",126 sqm
Bluwaters 2 ,D17,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",2,2,"1,206 sqft",112 sqm
Waterview ,D18,"18 Mar, 2014",280897,"SGD 4,800 (Negotiable)",4,4,"1,324 sqft",123 sqm
Textile Centre ,D07,"18 Mar, 2014",293944,"SGD 3,800 (Negotiable)",4,0,850 sqft,79 sqm
Citylights ,D08,"18 Mar, 2014",280897,"SGD 6,600 (Negotiable)",3,3,"1,421 sqft",133 sqm
The Shore Residences ,D15,"18 Mar, 2014",280897,"SGD 4,500 (Negotiable)",2,2,893 sqft,83 sqm
St Patrick's Green ,D15,"18 Mar, 2014",280897,"SGD 3,300 (Negotiable)",2,2,829 sqft,77 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 6,000 ",3,3,"1,411 sqft",131 sqm
The Shore Residences ,D15,"18 Mar, 2014",280897,"SGD 3,000 ",1,1,592 sqft,55 sqm
Bayshore Park ,D16,"18 Mar, 2014",280897,"SGD 3,800 ",3,3,"1,173 sqft",109 sqm
Aalto ,D15,"18 Mar, 2014",280897,"SGD 13,000 (Negotiable)",5,5,"2,443 sqft",227 sqm
The Riverine By The Park ,D12,"18 Mar, 2014",280897,"SGD 12,000 ",4,2,"2,930 sqft",272 sqm
Country Park ,D16,"18 Mar, 2014",280897,"SGD 5,000 (Negotiable)",3,3,"1,360 sqft",126 sqm
Bluwaters 2 ,D17,"18 Mar, 2014",280897,"SGD 5,000 (Negotiable)",3,3,"2,400 sqft",223 sqm
D'Ecosia ,D15,"18 Mar, 2014",280897,"SGD 4,000 ",1,1,"1,044 sqft",97 sqm
Crescendo Building ,D15,"18 Mar, 2014",280897,"SGD 3,600 ",3,3,"1,367 sqft",127 sqm
East Meadows ,D16,"18 Mar, 2014",280897,"SGD 4,000 ",3,3,"1,195 sqft",111 sqm
Waterview ,D18,"18 Mar, 2014",280897,"SGD 4,000 (Negotiable)",3,3,"1,234 sqft",115 sqm
Changi Green ,D16,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",3,3,"1,130 sqft",105 sqm
Moda ,D15,"18 Mar, 2014",280897,"SGD 3,900 (Negotiable)",2,2,764 sqft,71 sqm
Martin Place Residences ,D09,"18 Mar, 2014",280897,"SGD 9,000 (Negotiable)",3,3,"1,722 sqft",160 sqm
Changi Court ,D16,"18 Mar, 2014",280897,"SGD 3,000 (Negotiable)",2,0,969 sqft,90 sqm
The Bayshore ,D16,"18 Mar, 2014",280897,"SGD 4,500 (Negotiable)",3,3,"1,346 sqft",125 sqm
Costa Rhu ,D15,"18 Mar, 2014",280897,"SGD 4,500 (Negotiable)",2,2,"1,399 sqft",130 sqm
Ris Grandeur ,D18,"18 Mar, 2014",280897,"SGD 3,300 (Negotiable)",3,3,"1,292 sqft",120 sqm
Sea Avenue Mansions ,D15,"18 Mar, 2014",280897,"SGD 4,000 (Negotiable)",2,2,980 sqft,91 sqm
Costa Del Sol ,D16,"18 Mar, 2014",280897,"SGD 6,800 (Negotiable)",4,4,"1,561 sqft",145 sqm
Elias Green ,D18,"18 Mar, 2014",280897,"SGD 3,400 ",3,3,"1,582 sqft",147 sqm
Eastpoint Green ,D18,"18 Mar, 2014",280897,"SGD 4,000 (Negotiable)",3,3,"1,184 sqft",110 sqm
Haig Grove ,D15,"18 Mar, 2014",280897,"SGD 3,600 (Negotiable)",3,3,"1,400 sqft",130 sqm
Carissa Park ,D17,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",3,3,"1,305 sqft",121 sqm
Pebble Bay ,D15,"18 Mar, 2014",280897,"SGD 10,000 (Negotiable)",4,4,"2,626 sqft",244 sqm
Mandarin Gardens ,D15,"18 Mar, 2014",280897,"SGD 4,600 (Negotiable)",3,3,"1,528 sqft",142 sqm
Costa Del Sol ,D16,"18 Mar, 2014",280897,"SGD 6,500 (Negotiable)",4,4,"1,475 sqft",137 sqm
Carissa Park ,D17,"18 Mar, 2014",280897,"SGD 3,700 (Negotiable)",3,3,"1,352 sqft",126 sqm
Country Park ,D16,"18 Mar, 2014",280897,"SGD 4,500 (Negotiable)",2,2,"1,087 sqft",101 sqm
Pebble Bay ,D15,"18 Mar, 2014",280897,"SGD 7,000 (Negotiable)",3,3,"1,894 sqft",176 sqm
Waterview ,D18,"18 Mar, 2014",280897,"SGD 4,200 (Negotiable)",3,3,"4,200 sqft",390 sqm
Ris Grandeur ,D18,"18 Mar, 2014",280897,"SGD 3,600 (Negotiable)",3,3,"3,600 sqft",334 sqm
International Plaza ,D02,"18 Mar, 2014",293944,"SGD 3,800 (Negotiable)",1,1,600 sqft,56 sqm
Dakota Residences ,D14,"18 Mar, 2014",280897,"SGD 5,000 (Negotiable)",2,0,"1,044 sqft",97 sqm
Bagnall Court ,D16,"18 Mar, 2014",280897,"SGD 4,200 (Negotiable)",3,3,"2,500 sqft",232 sqm
D'Ecosia ,D15,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",1,1,506 sqft,47 sqm
Changi Rise ,D18,"18 Mar, 2014",280897,"SGD 3,500 (Negotiable)",3,3,"1,289 sqft",120 sqm
Costa Rhu ,D15,"18 Mar, 2014",280897,"SGD 7,800 (Negotiable)",4,4,"2,088 sqft",194 sqm
Estella Gardens ,D17,"18 Mar, 2014",280897,"SGD 4,500 (Negotiable)",3,3,"1,596 sqft",148 sqm
The Gale ,D17,"18 Mar, 2014",280897,"SGD 3,800 (Negotiable)",3,3,"1,350 sqft",125 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 5,800 ",4,3,"1,313 sqft",122 sqm
The Woodsvale ,D25,"18 Mar, 2014",298804,"SGD 3,800 (Guide Price)",3,2,"1,517 sqft",141 sqm
Scotts Square ,D09,"18 Mar, 2014",290663,"SGD 9,800 (Negotiable)",4,0,"1,249 sqft",116 sqm
Grange Residences ,D10,"18 Mar, 2014",290663,"SGD 19,000 (Negotiable)",4,0,"2,852 sqft",265 sqm
Palm Spring ,D10,"18 Mar, 2014",290663,"SGD 4,900 (Negotiable)",3,0,"1,485 sqft",138 sqm
Tanglin Hill ,D10,"18 Mar, 2014",290267,"SGD 7,988 ",4,0,"2,900 sqft",269 sqm
Goodluck Garden ,D21,"18 Mar, 2014",298804,"SGD 3,900 (Guide Price)",3,2,"1,691 sqft",158 sqm
Chiltem Park ,D19,"18 Mar, 2014",282127,"SGD 4,000 (Negotiable)",3,2,"1,346 sqft",125 sqm
Riverside 48 ,D09,"18 Mar, 2014",282127,"SGD 4,300 (Negotiable)",1,2,829 sqft,77 sqm
The Club at Capella ,D04,"18 Mar, 2014",298990,"SGD 20,000 (Negotiable)",3,3,"2,389 sqft",222 sqm
D'Chateau@Shelford ,D11,"18 Mar, 2014",290267,"SGD 5,999 ",3,0,"2,174 sqft",202 sqm
The Greenwich ,D28,"18 Mar, 2014",296242,"SGD 3,000 ",1,1,603 sqft,56 sqm
Cote D'Azur ,D15,"18 Mar, 2014",290267,"SGD 5,998 ",4,0,"1,580 sqft",147 sqm
MacKenzie Regency ,D09,"18 Mar, 2014",296242,"SGD 4,000 ",3,0,"1,200 sqft",111 sqm
Questa@Dunman ,D15,"18 Mar, 2014",310907,"SGD 3,300 (Negotiable)",2,2,861 sqft,80 sqm
Marine View Mansion ,D15,"18 Mar, 2014",310907,"SGD 4,300 (Negotiable)",3,3,"2,077 sqft",193 sqm
Parc Oasis ,D22,"18 Mar, 2014",298804,"SGD 3,800 (Guide Price)",3,3,"1,227 sqft",114 sqm
38 Amber ,D15,"18 Mar, 2014",310907,"SGD 3,500 (Fixed)",2,2,893 sqft,83 sqm
38 Amber ,D15,"18 Mar, 2014",310907,"SGD 4,000 (Fixed)",3,2,"1,195 sqft",111 sqm
Trevista@Toa Payoh ,D12,"18 Mar, 2014",290267,"SGD 5,200 ",3,0,"1,130 sqft",105 sqm
Bluwaters ,D17,"18 Mar, 2014",280897,"SGD 5,500 (Negotiable)",4,4,"2,217 sqft",206 sqm
The Waterside ,D15,"18 Mar, 2014",280897,"SGD 8,000 ",4,4,"2,411 sqft",224 sqm
Paradise Palms ,D15,"18 Mar, 2014",310907,"SGD 4,000 (Fixed)",3,3,"1,184 sqft",110 sqm
THE BLOSSOMVALE ,D21,"18 Mar, 2014",289911,"SGD 4,500 (Negotiable)",3,3,"1,572 sqft",146 sqm
The Hamilton Scotts ,D09,"18 Mar, 2014",289911,"SGD 13,500 (Negotiable)",3,3,"2,756 sqft",256 sqm
Patent place ,D21,"18 Mar, 2014",289911,"SGD 4,300 (Negotiable)",3,3,"1,760 sqft",164 sqm
Ocean Park ,D15,"18 Mar, 2014",310907,"SGD 6,500 (Negotiable)",4,4,"3,262 sqft",303 sqm
Patent Place ,D21,"18 Mar, 2014",289911,"SGD 5,500 (Negotiable)",4,4,"1,960 sqft",182 sqm
Sixth Avenue Ville ,D10,"18 Mar, 2014",289911,"SGD 5,700 (Negotiable)",4,4,"1,780 sqft",165 sqm
The Raintree ,D21,"18 Mar, 2014",289911,"SGD 3,950 (Negotiable)",3,3,"1,389 sqft",129 sqm
Bleu @ East Coast ,D16,"18 Mar, 2014",289911,"SGD 3,600 (Negotiable)",3,3,"1,173 sqft",109 sqm
The Lincoln Modern ,D11,"18 Mar, 2014",289911,"SGD 7,200 ",3,3,"1,378 sqft",128 sqm
Marina Bay Residences ,D01,"18 Mar, 2014",289911,"SGD 20,000 (Negotiable)",4,0,"3,900 sqft",362 sqm
Heritage East ,D15,"18 Mar, 2014",281430,"SGD 2,200 (Guide Price)",1,1,380 sqft,35 sqm
Heritage East ,D15,"18 Mar, 2014",281430,"SGD 2,300 ",1,1,377 sqft,35 sqm
The Quayside ,D09,"18 Mar, 2014",289911,"SGD 6,900 (Negotiable)",3,4,"1,647 sqft",153 sqm
Jupiter 18 ,D15,"18 Mar, 2014",282096,"SGD 2,400 ",1,1,463 sqft,43 sqm
Chancery Hill Walk ,D11,"18 Mar, 2014",289911,"SGD 12,500 (Negotiable)",5,5,"3,800 sqft",353 sqm
Thomson Euro-Asia ,D11,"18 Mar, 2014",287502,"SGD 5,700 ",3,3,"1,150 sqft",107 sqm
The Waterina ,D14,"18 Mar, 2014",197980,"SGD 3,100 (Guide Price)",1,0,721 sqft,67 sqm
Trevista@Toa Payoh ,D12,"18 Mar, 2014",287502,"SGD 5,500 ",3,3,"1,280 sqft",119 sqm
Valley Park ,D10,"18 Mar, 2014",282806,"SGD 3,700 ",1,1,850 sqft,79 sqm
Eunos Mansion ,D14,"18 Mar, 2014",281430,"SGD 3,100 ",3,0,"1,292 sqft",120 sqm
Hume Park II ,D21,"18 Mar, 2014",282651,"SGD 2,500 ",2,0,"1,000 sqft",93 sqm
Tresalveo ,D20,"18 Mar, 2014",302539,"SGD 3,400 (Negotiable)",1,0,592 sqft,55 sqm
Casa Cairnhill ,D09,"18 Mar, 2014",282651,"SGD 6,500 ",3,0,"1,600 sqft",149 sqm
Hillington Green ,D23,"18 Mar, 2014",282651,"SGD 3,300 ",3,0,"1,350 sqft",125 sqm
Hillington Green ,D23,"18 Mar, 2014",282651,"SGD 3,500 ",3,0,"1,528 sqft",142 sqm
St Martin Residence ,D10,"18 Mar, 2014",282651,"SGD 7,000 ",3,0,"1,227 sqft",114 sqm
Parc Emily ,D09,"18 Mar, 2014",282651,"SGD 5,600 ",2,0,893 sqft,83 sqm
Astrid Meadows ,D10,"18 Mar, 2014",282651,"SGD 17,000 ",4,0,"3,810 sqft",354 sqm
Summerdale ,D22,"18 Mar, 2014",282651,"SGD 3,200 ",3,0,"1,200 sqft",111 sqm
Sixth Avenue Ville ,D10,"18 Mar, 2014",282651,"SGD 4,500 ",2,0,"1,200 sqft",111 sqm
Beverly Hill  ,D10,"18 Mar, 2014",282651,"SGD 13,000 ",4,0,"3,778 sqft",351 sqm
The Centris ,D22,"18 Mar, 2014",282651,"SGD 4,800 ",3,0,"1,550 sqft",144 sqm
Parc Oasis ,D22,"18 Mar, 2014",282651,"SGD 3,500 ",3,0,"1,227 sqft",114 sqm
Scotts 28 ,D09,"18 Mar, 2014",282651,"SGD 5,800 ",2,0,"1,098 sqft",102 sqm
Claremont ,D09,"18 Mar, 2014",282651,"SGD 5,300 (Negotiable)",3,0,"1,200 sqft",111 sqm
Yong An Park ,D09,"18 Mar, 2014",282651,"SGD 14,000 ",4,0,"3,700 sqft",344 sqm
The Arcadia ,D11,"18 Mar, 2014",282651,"SGD 10,000 ",4,0,"3,800 sqft",353 sqm
Nassim Woods ,D10,"18 Mar, 2014",282651,"SGD 20,000 ",5,0,"6,523 sqft",606 sqm
The Anchorage ,D03,"18 Mar, 2014",282651,"SGD 4,100 ",2,0,"1,195 sqft",111 sqm
Centro Residences ,D20,"18 Mar, 2014",282651,"SGD 3,800 ",2,0,764 sqft,71 sqm
Harbour View Towers ,D04,"18 Mar, 2014",282651,"SGD 5,000 ",3,0,"1,206 sqft",112 sqm
Centro Residences ,D20,"18 Mar, 2014",282651,"SGD 4,000 ",2,0,990 sqft,92 sqm
Lermit Lodge ,D10,"18 Mar, 2014",282651,"SGD 8,000 ",3,0,"2,400 sqft",223 sqm
The Marque At Irrawaddy ,D12,"18 Mar, 2014",282651,"SGD 6,500 (Guide Price)",3,0,"1,690 sqft",157 sqm
Belmond Green ,D10,"18 Mar, 2014",282651,"SGD 4,200 ",2,0,980 sqft,91 sqm
Goodluck Garden ,D21,"18 Mar, 2014",282651,"SGD 3,200 ",2,0,"1,100 sqft",102 sqm
Mi Casa ,D23,"18 Mar, 2014",282651,"SGD 3,500 (Offers in Excess of)",2,0,"1,119 sqft",104 sqm
Palm Green ,D05,"18 Mar, 2014",282651,"SGD 3,300 ",2,0,"1,200 sqft",111 sqm
Centro Residences ,D20,"18 Mar, 2014",282651,"SGD 3,600 ",2,0,743 sqft,69 sqm
Centro Residences ,D20,"18 Mar, 2014",282651,"SGD 3,800 ",2,0,818 sqft,76 sqm
Floridian ,D21,"18 Mar, 2014",282651,"SGD 4,100 ",2,0,936 sqft,87 sqm
Clydesview ,D03,"18 Mar, 2014",282651,"SGD 7,600 ",3,0,"2,411 sqft",224 sqm
Waterfall Gardens ,D10,"18 Mar, 2014",282651,"SGD 8,000 ",3,0,"1,830 sqft",170 sqm
Fernhill Garden ,D10,"18 Mar, 2014",282651,"SGD 15,000 (Guide Price)",3,4,"3,150 sqft",293 sqm
Floridian ,D21,"18 Mar, 2014",282651,"SGD 6,000 ",3,0,"1,345 sqft",125 sqm
Jia ,D09,"18 Mar, 2014",282651,"SGD 6,800 ",3,0,"1,528 sqft",142 sqm
Westpoint Condominium ,D05,"18 Mar, 2014",282651,"SGD 6,300 ",3,0,"2,440 sqft",227 sqm
Gallop Gables ,D10,"18 Mar, 2014",282651,"SGD 5,200 ",2,0,"1,560 sqft",145 sqm
Rosewood Suites ,D25,"18 Mar, 2014",288837,"SGD 4,500 (View to offer)",4,4,"1,518 sqft",142 sqm
The Hamilton Scotts ,D09,"18 Mar, 2014",282651,"SGD 15,000 ",3,0,"2,800 sqft",260 sqm
Goodluck Garden ,D21,"18 Mar, 2014",282651,"SGD 3,500 (Offers in Excess of)",3,0,"1,500 sqft",139 sqm
Hullet Court ,D09,"18 Mar, 2014",282651,"SGD 5,500 ",3,0,"1,151 sqft",107 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 5,500 ",3,3,"1,216 sqft",113 sqm
Highgate ,D21,"18 Mar, 2014",298804,"SGD 3,700 (Negotiable)",3,0,"1,421 sqft",133 sqm
Trevista@Toa Payoh ,D12,"18 Mar, 2014",287502,"SGD 5,200 ",3,3,"1,152 sqft",107 sqm
Ever Lodge ,D14,"18 Mar, 2014",298804,"SGD 3,000 (Guide Price)",2,0,"1,000 sqft",93 sqm
Prestige Heights ,D12,"18 Mar, 2014",288837,"SGD 3,200 (Negotiable)",1,1,409 sqft,38 sqm
Harbour View Towers ,D04,"18 Mar, 2014",288837,"SGD 4,200 (Guide Price)",2,2,797 sqft,75 sqm
Ascentia Sky ,D03,"18 Mar, 2014",298804,"SGD 7,000 (Negotiable)",3,0,"1,475 sqft",138 sqm
The Holland Collection ,D10,"18 Mar, 2014",287074,"SGD 9,500 (Negotiable)",3,2,"1,668 sqft",155 sqm
The Holland Collection ,D10,"18 Mar, 2014",287074,"SGD 11,000 (Negotiable)",3,2,"1,841 sqft",171 sqm
Prestige Heights ,D12,"18 Mar, 2014",298804,"SGD 4,200 (Guide Price)",3,2,861 sqft,80 sqm
People's Park Complex ,D01,"18 Mar, 2014",308998,"SGD 1,600 (Guide Price)",1,0,300 sqft,28 sqm
Rv Edge ,D10,"18 Mar, 2014",281241,"SGD 3,000 ",1,0,360 sqft,33 sqm
The Trillium ,D09,"18 Mar, 2014",302318,"SGD 9,500 ",3,0,"1,798 sqft",167 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 5,200 ",3,3,"1,152 sqft",107 sqm
Cote D'Azur ,D15,"18 Mar, 2014",308998,"SGD 14,000 (Guide Price)",4,3,"3,423 sqft",318 sqm
Cubik ,D15,"18 Mar, 2014",308998,"SGD 4,500 (Negotiable)",3,3,"1,119 sqft",104 sqm
Tanglin View ,D03,"18 Mar, 2014",308998,"SGD 5,100 (Negotiable)",3,3,"1,141 sqft",106 sqm
Orchard Scotts ,D09,"18 Mar, 2014",281241,"SGD 10,400 ",3,0,"1,625 sqft",151 sqm
Chancery Grove ,D11,"18 Mar, 2014",281241,"SGD 7,700 ",4,0,"2,013 sqft",187 sqm
Nassim Regency ,D10,"18 Mar, 2014",281241,"SGD 11,000 ",3,0,"2,024 sqft",188 sqm
Vida ,D09,"18 Mar, 2014",281241,"SGD 8,900 ",2,0,"1,324 sqft",123 sqm
River Place ,D03,"18 Mar, 2014",281241,Price on Ask ,1,0,886 sqft,82 sqm
Nassim Jade ,D10,"18 Mar, 2014",281241,"SGD 15,000 (Price on Ask)",5,0,"3,300 sqft",307 sqm
Grange 70 ,D10,"18 Mar, 2014",281241,"SGD 6,600 ",3,0,"1,755 sqft",163 sqm
Vacanza@East ,D14,"18 Mar, 2014",308696,"SGD 6,400 (Negotiable)",3,4,"1,927 sqft",180 sqm
The Ford@Holland ,D10,"18 Mar, 2014",290663,"SGD 8,500 (Negotiable)",4,0,"1,938 sqft",180 sqm
Sunshine Plaza ,D07,"18 Mar, 2014",320056,"SGD 4,300 (Negotiable)",2,0,980 sqft,91 sqm
River Place ,D03,"18 Mar, 2014",281241,"SGD 8,200 ",4,0,"2,067 sqft",192 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 5,000 ",3,3,"1,152 sqft",107 sqm
Villa De West ,D05,"18 Mar, 2014",320056,"SGD 4,200 (View to offer)",3,0,"1,528 sqft",142 sqm
Eastvale ,D18,"18 Mar, 2014",320056,"SGD 3,000 (Offers in Excess of)",2,0,"1,098 sqft",102 sqm
Laverne's Loft ,D15,"18 Mar, 2014",290267,"SGD 2,488 ",1,1,400 sqft,37 sqm
8 Eden Grove ,D19,"18 Mar, 2014",320056,"SGD 3,200 (Offers in Excess of)",3,0,"1,050 sqft",98 sqm
Crescendo Park ,D15,"18 Mar, 2014",320056,"SGD 3,600 (Offers in Excess of)",3,0,"1,410 sqft",131 sqm
Ricchezza ,D15,"18 Mar, 2014",320056,"SGD 2,800 (Offers in Excess of)",1,0,593 sqft,55 sqm
Centro Residences ,D20,"18 Mar, 2014",298804,"SGD 4,800 (Guide Price)",2,2,"1,453 sqft",135 sqm
Le Hill ,D05,"18 Mar, 2014",281414,"SGD 3,300 (Guide Price)",2,2,990 sqft,92 sqm
Sun Glade ,D19,"18 Mar, 2014",281414,"SGD 4,200 (Negotiable)",3,2,"1,199 sqft",111 sqm
Grandeur 8 ,D20,"18 Mar, 2014",281414,"SGD 4,000 ",2,3,"1,249 sqft",116 sqm
Airstream ,D12,"18 Mar, 2014",291115,"SGD 2,809 (Negotiable)",2,1,506 sqft,47 sqm
Vacanza@East ,D14,"18 Mar, 2014",308696,"SGD 5,400 (Negotiable)",2,3,"1,625 sqft",151 sqm
Vista Residences ,D12,"18 Mar, 2014",287502,"SGD 5,000 ",3,3,"1,174 sqft",109 sqm
Canberra Residences ,D27,"18 Mar, 2014",288837,"SGD 4,500 (Negotiable)",3,3,"1,539 sqft",143 sqm
Vacanza@East ,D14,"18 Mar, 2014",154406,Price on Ask ,2,2,840 sqft,78 sqm
Jupiter 18 ,D15,"18 Mar, 2014",281241,"SGD 2,500 (Price on Ask)",1,0,431 sqft,40 sqm
